,Place,Song Name,Album,Duration in minutes,Image URL
0,1,I Wanna Be Yours,AM,3.07,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163
1,2,505,Favourite Worst Nightmare,4.23,https://i.scdn.co/image/ab67616d0000b273b1f8da74f225fa1225cdface
2,3,Do I Wanna Know?,AM,4.54,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163
3,4,Why'd You Only Call Me When You're High?,AM,2.69,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163
4,5,R U Mine?,AM,3.36,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163
5,6,Fluorescent Adolescent,Favourite Worst Nightmare,3.06,https://i.scdn.co/image/ab67616d0000b273b1f8da74f225fa1225cdface
6,7,Snap Out Of It,AM,3.22,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163
7,8,Arabella,AM,3.46,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163
8,9,Knee Socks,AM,4.29,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163
9,10,Mardy Bum,"Whatever People Say I Am, That's What I'm Not",2.92,https://i.scdn.co/image/ab67616d0000b2736b3fa88bdd4af566fbbf2bbf
