,Place,Song Name,Album,Duration in minutes,Image URL
0,1,My Own Summer (Shove It),Around the Fur,3.58,https://i.scdn.co/image/ab67616d0000b2730b1129853982ea17845d4eb6
1,2,Change (In the House of Flies),White Pony,4.99,https://i.scdn.co/image/ab67616d0000b2735c53799f473fa3e1a48c00ed
2,3,Be Quiet and Drive (Far Away),Around the Fur,5.0,https://i.scdn.co/image/ab67616d0000b2730b1129853982ea17845d4eb6
3,4,Sextape,Diamond Eyes,4.03,https://i.scdn.co/image/ab67616d0000b27372c2145d48f68917a7361b15
4,5,Please Please Please Let Me Get What I Want - 2005 Remaster,B-Sides & Rarities,2.07,https://i.scdn.co/image/ab67616d0000b273e8e8eda544f82d427b173d9d
5,6,Cherry Waves,Saturday Night Wrist,5.3,https://i.scdn.co/image/ab67616d0000b273c869fa3b4e0ce4dd9818a40e
6,7,Rosemary,Koi No Yokan,6.89,https://i.scdn.co/image/ab67616d0000b27373652b7a0dc388dd1d044b69
7,8,Mascara,Around the Fur,3.75,https://i.scdn.co/image/ab67616d0000b2730b1129853982ea17845d4eb6
8,9,Beware,Saturday Night Wrist,6.01,https://i.scdn.co/image/ab67616d0000b273c869fa3b4e0ce4dd9818a40e
9,10,Digital Bath,White Pony,4.26,https://i.scdn.co/image/ab67616d0000b2735c53799f473fa3e1a48c00ed
