Place,Song Name,Album,Duration in minutes,Image URL
1,Evil,Antics,3.6,https://i.scdn.co/image/ab67616d0000b27357383649d25ab30a0bb5dfa0
2,Obstacle 1,Turn On The Bright Lights,4.19,https://i.scdn.co/image/ab67616d0000b27314f8df9fb9c2d3056a994390
3,C'mere,Antics,3.21,https://i.scdn.co/image/ab67616d0000b27357383649d25ab30a0bb5dfa0
4,Rest My Chemistry,Our Love To Admire,5.02,https://i.scdn.co/image/ab67616d0000b27358e444706a30b99f8d5fd8c9
5,Slow Hands,Antics,3.07,https://i.scdn.co/image/ab67616d0000b27357383649d25ab30a0bb5dfa0
6,All the Rage Back Home,El Pintor,4.37,https://i.scdn.co/image/ab67616d0000b2733d9014e399c953986fb675f6
7,Untitled,Turn On The Bright Lights,3.95,https://i.scdn.co/image/ab67616d0000b27314f8df9fb9c2d3056a994390
8,PDA,Turn On The Bright Lights,5.0,https://i.scdn.co/image/ab67616d0000b27314f8df9fb9c2d3056a994390
9,No I In Threesome,Our Love To Admire,3.86,https://i.scdn.co/image/ab67616d0000b27358e444706a30b99f8d5fd8c9
10,Narc,Antics,4.13,https://i.scdn.co/image/ab67616d0000b27357383649d25ab30a0bb5dfa0
