Place,Song Name,Album,Duration in minutes,Image URL
1,Creep,Pablo Honey,3.98,https://i.scdn.co/image/ab67616d0000b273df55e326ed144ab4f5cecf95
2,No Surprises,OK Computer,3.82,https://i.scdn.co/image/ab67616d0000b273c8b444df094279e70d0ed856
3,Karma Police,OK Computer,4.4,https://i.scdn.co/image/ab67616d0000b273c8b444df094279e70d0ed856
4,High and Dry,The Bends,4.29,https://i.scdn.co/image/ab67616d0000b2739293c743fa542094336c5e12
5,Jigsaw Falling Into Place,In Rainbows,4.15,https://i.scdn.co/image/ab67616d0000b273de3c04b5fc750b68899b20a9
6,Exit Music (For A Film),OK Computer,4.45,https://i.scdn.co/image/ab67616d0000b273c8b444df094279e70d0ed856
7,Fake Plastic Trees,The Bends,4.85,https://i.scdn.co/image/ab67616d0000b2739293c743fa542094336c5e12
8,Weird Fishes/ Arpeggi,In Rainbows,5.3,https://i.scdn.co/image/ab67616d0000b273de3c04b5fc750b68899b20a9
9,Just,The Bends,3.91,https://i.scdn.co/image/ab67616d0000b2739293c743fa542094336c5e12
10,All I Need,In Rainbows,3.81,https://i.scdn.co/image/ab67616d0000b273de3c04b5fc750b68899b20a9
