,Place,Song Name,Album,Duration in minutes,Image URL
0,1,Hearing Damage,Hearing Damage,5.06,https://i.scdn.co/image/ab67616d0000b27318f46afa3ecae92bc955b36d
1,2,Suspirium,Suspiria (Music for the Luca Guadagnino Film),3.36,https://i.scdn.co/image/ab67616d0000b2732cb0db99d7cf0db7c1546e5c
2,3,Dawn Chorus,ANIMA,5.38,https://i.scdn.co/image/ab67616d0000b273be7a8f11b1f4ca6bc1ee78e4
3,4,Black Swan,The Eraser,4.83,https://i.scdn.co/image/ab67616d0000b273691b5e122dee32f6dcb7894b
4,5,Knife Edge,Confidenza (Original Soundtrack),3.33,https://i.scdn.co/image/ab67616d0000b273ffa0de7e056956a9e8995a7e
5,6,Unmade,Suspiria (Music for the Luca Guadagnino Film),4.46,https://i.scdn.co/image/ab67616d0000b2732cb0db99d7cf0db7c1546e5c
6,7,The Eraser,The Eraser,4.93,https://i.scdn.co/image/ab67616d0000b273691b5e122dee32f6dcb7894b
7,8,Analyse,The Eraser,4.05,https://i.scdn.co/image/ab67616d0000b273691b5e122dee32f6dcb7894b
8,9,Daily Battles,Daily Battles (From Motherless Brooklyn: Original Motion Picture Soundtrack),2.89,https://i.scdn.co/image/ab67616d0000b273aee2868886f40e14a084feef
9,10,Prize Giving,Confidenza (Original Soundtrack),3.2,https://i.scdn.co/image/ab67616d0000b273ffa0de7e056956a9e8995a7e
